clean_text,sentiment
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
mr rajendra singh chauhan provide excellent service dish recommend great,positive
service really really good vimal sagar food really good thankyou much service,positive
awsme food service mohit chaudhary good person,positive
spot give extraordinary service yummy meals one favourite restaurants around town meals serve rapidly rat reasonable highly recommend rooftop ambience thumb,positive
overall good club experience,positive
